country,happiness,gdp,family,liefeexpectancy,trust
Albania,4.882699966430664,9.417930603027344,0.8304839134216309,0.8463296294212341,0.02536128461360931
Cambodia,4.848400115966797,8.249890327453613,1.0714260339736938,0.5879043340682983,0.07283750176429749
Bangladesh,4.832799911499023,8.2870635986328125,0.8688005805015564,0.6949405074119568,0.17673590779304504
Gabon,4.8292999267578125,9.680537223815918,1.10639750957489,0.5225748419761658,0.0558045394718647
South Africa,4.8140997886657715,9.40337085723877,1.25908625125885,0.4070340692996979,0.05950213968753815
Iraq,4.784800052642822,9.66109561920166,1.0114666223526,0.5293506979942322,0.07316499203443527
Lebanon,4.771500110626221,9.361723899841309,1.1924933195114136,0.7886711359024048,0.0215181466192007
Burkina Faso,4.768700122833252,7.468544960021973,0.9293859004974364,0.31283387541770935,0.12640805542469025
Gambia,4.7505998611450195,7.32181453704834,0.8826786875724792,0.35324788093566895,0.15809379518032074
Mali,4.729300022125244,7.629852294921875,0.9731417298316956,0.2349815219640732,0.06214627623558044
Nigeria,4.724100112915039,8.576624870300293,0.986717939376831,0.16783593595027924,0.04758993536233902
Armenia,4.676799774169922,9.100476264953612,1.0345768928527832,0.7758572697639465,0.10461818426847458
Georgia,4.672599792480469,9.22610092163086,0.7311939001083374,0.6946576237678528,0.17408807575702667
Iran,4.672399997711182,9.813719749450684,0.8862711787223816,0.7490538358688354,0.1426515132188797
Jordan,4.633399963378906,9.025999069213867,1.1401185989379885,0.7776247262954712,0.15187862515449524
Mozambique,4.623600006103516,7.069345951080322,0.9552028775215148,0.3242236375808716,0.16306431591510773
Kenya,4.583000183105469,8.029775619506836,0.9050777554512024,0.5363127589225769,0.06720107793807983
Namibia,4.571100234985352,9.20314121246338,1.24573814868927,0.40687116980552673,0.05432034283876419
Ukraine,4.560699939727783,9.010690689086914,1.321316480636597,0.6986743807792664,0.00965115986764431
Liberia,4.5578999519348145,7.054380416870117,0.92073392868042,0.3922842741012573,0.05113987624645233
Palestinian Territories,4.552800178527832,8.389223098754883,1.1947555541992188,0.61382657289505,0.07191365212202072
Uganda,4.432000160217285,7.500389575958252,1.0523273944854736,0.3783116638660431,0.06381884217262268
Chad,4.422699928283691,7.467963695526123,0.7391182780265808,0.10874409973621368,0.08575540781021118
Tunisia,4.392199993133545,9.31497287750244,0.872167706489563,0.7811567187309265,0.04389957338571548
